annee,rang,ville,specialite
2015,8878,Paris,Médecine Générale
2015,3265,Paris,Anesthésie-réanimation
2015,8582,Paris,Biologie Médicale
2015,3506,Paris,Gynécologie Médicale
2015,3335,Paris,Gynécologie Obstétrique
2015,8828,Paris,Médecine Et Santé Au Travail
2015,4422,Paris,Pédiatrie
2015,8009,Paris,Psychiatrie
2015,6787,Paris,Santé Publique
2015,3885,Paris,Anatomie Et Cytologie Pathologique
2015,1786,Paris,Cardiologie Et Maladies Vasculaires
2015,1050,Paris,Dermatologie Et Vénéréologie
2015,2835,Paris,Endocrinologie-diabétologie-nutrition
2015,1577,Paris,Hépato-gastro-entérologie
2015,3948,Paris,Génétique Médicale
2015,1032,Paris,Hématologie
2015,2305,Paris,Médecine Interne Et Immunologie Clinique
2015,2453,Paris,Médecine Nucléaire
2015,6040,Paris,Médecine Physique Et De Réadaptation
2015,532,Paris,Néphrologie
2015,2527,Paris,Neurologie
2015,2171,Paris,Oncologie
2015,2216,Paris,Pneumologie
2015,1846,Paris,Radiologie Et Imagerie Médicale
2015,2676,Paris,Rhumatologie
2015,3475,Paris,Chirurgie Générale
2015,4255,Paris,Chirurgie Orale
2015,2670,Paris,Neurochirurgie
2015,797,Paris,Ophtalmologie
2015,2402,Paris,ORL
2015,7087,Strasbourg,Médecine Générale
2015,3310,Strasbourg,Anesthésie-réanimation
2015,7971,Strasbourg,Biologie Médicale
2015,4047,Strasbourg,Gynécologie Médicale
2015,3128,Strasbourg,Gynécologie Obstétrique
2015,8464,Strasbourg,Médecine Et Santé Au Travail
2015,4146,Strasbourg,Pédiatrie
2015,7480,Strasbourg,Psychiatrie
2015,8508,Strasbourg,Santé Publique
2015,3956,Strasbourg,Anatomie Et Cytologie Pathologique
2015,1903,Strasbourg,Cardiologie Et Maladies Vasculaires
2015,477,Strasbourg,Dermatologie Et Vénéréologie
2015,2689,Strasbourg,Endocrinologie-diabétologie-nutrition
2015,2512,Strasbourg,Hépato-gastro-entérologie
2015,395,Strasbourg,Génétique Médicale
2015,2680,Strasbourg,Hématologie
2015,781,Strasbourg,Médecine Interne Et Immunologie Clinique
2015,2849,Strasbourg,Médecine Nucléaire
2015,4749,Strasbourg,Médecine Physique Et De Réadaptation
2015,2011,Strasbourg,Néphrologie
2015,1755,Strasbourg,Neurologie
2015,3223,Strasbourg,Oncologie
2015,3198,Strasbourg,Pneumologie
2015,1901,Strasbourg,Radiologie Et Imagerie Médicale
2015,1363,Strasbourg,Rhumatologie
2015,3978,Strasbourg,Chirurgie Générale
2015,4133,Strasbourg,Chirurgie Orale
2015,1109,Strasbourg,Ophtalmologie
2015,1963,Strasbourg,ORL
2015,8860,Nancy,Médecine Générale
2015,3894,Nancy,Anesthésie-réanimation
2015,7302,Nancy,Biologie Médicale
2015,4802,Nancy,Gynécologie Médicale
2015,4497,Nancy,Gynécologie Obstétrique
2015,8484,Nancy,Médecine Et Santé Au Travail
2015,4938,Nancy,Pédiatrie
2015,8738,Nancy,Psychiatrie
2015,8044,Nancy,Santé Publique
2015,4077,Nancy,Anatomie Et Cytologie Pathologique
2015,2147,Nancy,Cardiologie Et Maladies Vasculaires
2015,3010,Nancy,Dermatologie Et Vénéréologie
2015,5368,Nancy,Endocrinologie-diabétologie-nutrition
2015,3441,Nancy,Hépato-gastro-entérologie
2015,5548,Nancy,Génétique Médicale
2015,4823,Nancy,Hématologie
2015,3923,Nancy,Médecine Interne Et Immunologie Clinique
2015,3465,Nancy,Médecine Nucléaire
2015,5723,Nancy,Médecine Physique Et De Réadaptation
2015,1721,Nancy,Néphrologie
2015,3731,Nancy,Neurologie
2015,3549,Nancy,Oncologie
2015,4154,Nancy,Pneumologie
2015,2731,Nancy,Radiologie Et Imagerie Médicale
2015,3932,Nancy,Rhumatologie
2015,4483,Nancy,Chirurgie Générale
2015,4446,Nancy,Chirurgie Orale
2015,2418,Nancy,Neurochirurgie
2015,1629,Nancy,Ophtalmologie
2015,3131,Nancy,ORL
2015,8395,Besançon,Médecine Générale
2015,3930,Besançon,Anesthésie-réanimation
2015,8235,Besançon,Biologie Médicale
2015,4820,Besançon,Gynécologie Médicale
2015,4461,Besançon,Gynécologie Obstétrique
2015,8338,Besançon,Médecine Et Santé Au Travail
2015,5351,Besançon,Pédiatrie
2015,8848,Besançon,Psychiatrie
2015,7472,Besançon,Santé Publique
2015,4883,Besançon,Anatomie Et Cytologie Pathologique
