annee;rang;ville;specialite
2020;1;Paris;médecine cardiovasculaire 
2020;2;Rouen;chirurgie plastique, reconstructrice et esthétique 
2020;3;Toulouse;anesthésie-réanimation 
2020;4;Paris;génétique médicale 
2020;5;Paris;neurologie 
2020;6;Marseille;médecine cardiovasculaire 
2020;7;Lille;maladies infectieuses et tropicales 
2020;8;Besançon;anesthésie-réanimation 
2020;9;Lyon;chirurgie maxillo-faciale 
2020;10;Toulouse;maladies infectieuses et tropicales 
2020;11;Paris;ophtalmologie 
2020;12;Lyon;nom d'usage Said-Aizpuru, médecine cardiovasculaire 
2020;13;Paris;médecine cardiovasculaire 
2020;14;Angers;médecine générale 
2020;15;Lyon;anesthésie-réanimation 
2020;16;Bordeaux;médecine cardiovasculaire 
2020;17;Bordeaux;dermatologie et vénéréologie 
2020;18;Toulouse;médecine cardiovasculaire 
2020;19;Paris;maladies infectieuses et tropicales 
2020;20;Rouen;neurochirurgie 
2020;21;Paris;urologie 
2020;22;Toulouse;médecine interne et immunologie clinique 
2020;23;Marseille;chirurgie orthopédique et traumatologique 
2020;24;Clermont-Ferrand;médecine interne et immunologie clinique 
2020;25;Toulouse;médecine cardiovasculaire 
2020;26;Nancy;néphrologie 
2020;27;Paris;médecine interne et immunologie clinique 
2020;28;Bordeaux;médecine cardiovasculaire 
2020;29;Marseille;hépato-gastro-entérologie 
2020;30;Lille;neurologie 
2020;31;Paris;ophtalmologie 
2020;32;Rennes;pédiatrie 
2020;33;Paris;médecine interne et immunologie clinique 
2020;34;Paris;ophtalmologie 
2020;35;Tours;radiologie et imagerie médicale 
2020;36;Lyon;néphrologie 
2020;37;Marseille;chirurgie plastique, reconstructrice et esthétique 
2020;38;Montpellier;neurochirurgie 
2020;39;Lyon;chirurgie plastique, reconstructrice et esthétique 
2020;40;Paris;neurologie 
2020;41;Montpellier;anesthésie-réanimation 
2020;42;Lyon;oncologie 
2020;43;Bordeaux;néphrologie 
2020;44;Paris;oncologie 
2020;45;Paris;ophtalmologie 
